,text,id,created_at,author_id
0,"@sdbaral @ajlamesa Universal health care (where universal means only for wealthy 1st worlders), paid sick leave and special housing all interest me less than malaria nets, deworming  efforts and global nutrition",1482805026296840196,2022-01-16T20:00:42.000Z,1344015268880773120
1,@ADnl Soms vraag ik me af hoe kwam het dat er in het begin zoveel mensen dood gingen door corona maar nu steeds minder. Kan het ook niet zijn dat ze eerst verkeerd behandelden als je opgenomen werd zoals malaria tabletten ect. En nu wel weten wat ze doen??,1482804691834703878,2022-01-16T19:59:22.000Z,1462426576243544070
2,@NahasNewman The dozens of kids dying of malaria and malnutrition hearing about his tweet thread: man I sure hope things work out for him,1482804572020170761,2022-01-16T19:58:53.000Z,1344015268880773120
3,@waikuku4 https://t.co/hwICoKcJpT,1482804500960358407,2022-01-16T19:58:36.000Z,1046505422830678018
4,"RT @RoperfreeBrand: Grab Roperfree Brand Products now to protect yourself against malaria, rheumatism and COVID-19 https://t.co/ImIUnoKpZu",1482804405846032397,2022-01-16T19:58:14.000Z,473999035
5,@cricafialho @tuareguee5 @GoldoRomarino @reinaldoazevedo A vacina da febre ameraba não te deixa transmitir o vírus da mesma forma que a da malária também não é países a exigem como entrada! Esse não é meu ponto…,1482804331535642626,2022-01-16T19:57:56.000Z,48674821
6,"@Iconoovic @J_Joadia94 @mrfestusogun I taya.. U can't even compare foreign slums to Nigerian slums.. People can't even afford a square meal in lagos slums, many can't afford malaria drugs",1482804264980422659,2022-01-16T19:57:40.000Z,727068042
7,"RT @dgurdasani1: Time to tell all these 'developing' countries to cancel national malaria, TB programmes because -well- these diseases are…",1482804254318288899,2022-01-16T19:57:38.000Z,1113597477469319168
8,"RT @jljcolorado: 4/ ""Denial of science of epidemiology is widespread, even among “experts”. We are told repeatedly that SARS-CoV-2 will bec…",1482804234399662085,2022-01-16T19:57:33.000Z,160538535
9,@therobanda https://t.co/hwICoKcJpT,1482804101775769606,2022-01-16T19:57:01.000Z,1046505422830678018
10,"RT @dgurdasani1: Time to tell all these 'developing' countries to cancel national malaria, TB programmes because -well- these diseases are…",1482803507648679939,2022-01-16T19:54:40.000Z,2588950618
11,@Tobiloba_A_A @Smallmalik01 Ment or malaria?,1482803453231616006,2022-01-16T19:54:27.000Z,1279080336400490497
12,"RT @TheLancet: The legacy of #COVID19 for Papua New Guinea: disrupted care &amp; setbacks in action against tuberculosis, HIV/AIDS, &amp; malaria.…",1482803443538530307,2022-01-16T19:54:24.000Z,19708473
13,"@BlogdoNoblat Arranquem as máscaras, respirem oxigênio do ar, adquiram celulas-T combatentes. Tudo vai melhorar. E lembrem-se: nada de vacina experimental, usem remédios seguros e testados contra piolhos e malária, sob supervisão médica.",1482803359765643265,2022-01-16T19:54:04.000Z,50163413
14,RT @blasiansomali: in 2010 we fed fruitflies to my lil cousin from somalia telling him it was edible it was all jokes till he went back to…,1482803073898668045,2022-01-16T19:52:56.000Z,1279093110379876359
15,@iamHighDee Gats be malaria or something.,1482802839349084160,2022-01-16T19:52:00.000Z,222889342
16,"Chao veija hpta care culo, chao malaria. Ay me Colgo https://t.co/zb4NjSPzVX",1482802683836780550,2022-01-16T19:51:23.000Z,466990177
17,RT @zatawa2: 🇺🇸 put a statement urging parties to the war to reconcile in 1988 as Somali Republic airforces were boming cities in than Nort…,1482802673028059145,2022-01-16T19:51:21.000Z,1075212227924377601
18,@rosaepine Nous avons trouvé de la malaria dans spike (perez&amp;montagnier 2020) https://t.co/DquETcHHhP,1482802317787377672,2022-01-16T19:49:56.000Z,120033713
19,@GalG____ Prophylaxis like Larium for Malaria,1482802038174068741,2022-01-16T19:48:49.000Z,200630078
20,"RT @nameshiv: along with this and malaria vax, rNA vaccines may be the greatest breakthrough we've had since broad spectrum antibiotics",1482801903285137409,2022-01-16T19:48:17.000Z,2866483842
21,@iam_hillas_c @Symply_Enny Ment or malaria,1482801845118676993,2022-01-16T19:48:03.000Z,1369774666487848960
22,I wanted to be Spider-Man lol but na mosquito bite me instead and I got malaria for days 🥲 https://t.co/5ErVlHlJjH,1482801388568518660,2022-01-16T19:46:14.000Z,563055675
23,"RT @jljcolorado: 4/ ""Denial of science of epidemiology is widespread, even among “experts”. We are told repeatedly that SARS-CoV-2 will bec…",1482801300475678726,2022-01-16T19:45:53.000Z,2995806425
24,"RT @FadaunsiAdeniyi: Peter Obi as a sitting governor was flying ""Economy Class"" while your MCMs were flying private jets to go treat malari…",1482801241549901825,2022-01-16T19:45:39.000Z,921036472639217665
25,RT @officialgface: A native doctor (herbalist) that sleep inside mosquito net should not give people herbs for the treatment of MALARIA 😹😂.,1482801187242057733,2022-01-16T19:45:26.000Z,1272118411695394816
26,"RT @KR3Wmatic: Pastor Chris Oyakhilome causing mass hysteria in your area. Sicker than malaria. 😂😂

https://t.co/ZinhOLTNNX",1482801161988100098,2022-01-16T19:45:20.000Z,1425770786162360323
27,HOW TO PREVENT OURSELVES FROM MALARIA https://t.co/1LyCmAFy60 Budget https://t.co/Ib7zWsgS8T,1482800877366910979,2022-01-16T19:44:12.000Z,1448035746783313923
28,"RT @TheLancet: The legacy of #COVID19 for Papua New Guinea: disrupted care &amp; setbacks in action against tuberculosis, HIV/AIDS, &amp; malaria.…",1482800663029551105,2022-01-16T19:43:21.000Z,3248784063
29,"RT @TheLancet: The legacy of #COVID19 for Papua New Guinea: disrupted care &amp; setbacks in action against tuberculosis, HIV/AIDS, &amp; malaria.…",1482800313065254917,2022-01-16T19:41:58.000Z,1572900254
30,RT @MaxOtto94673759: @estarc62 @Foro_TV @raul_zurutuza @DjokerNole @AbiertoTelcel Cuando por razones de trabajo he tenido que viajar a cier…,1482800186883780610,2022-01-16T19:41:28.000Z,1214637216812679170
31,"@estarc62 @Foro_TV @raul_zurutuza @DjokerNole @AbiertoTelcel Cuando por razones de trabajo he tenido que viajar a ciertos países de África y Asia, se me ha exigido vacunarme previamente en contra de la malaria y otras enfermedades. He tenido que cumplir para poder hacer mi trabajo.
Ser tenista famoso es motivo de excepción?",1482800123914723333,2022-01-16T19:41:13.000Z,1214637216812679170
32,"RT @dgurdasani1: Time to tell all these 'developing' countries to cancel national malaria, TB programmes because -well- these diseases are…",1482800114511286272,2022-01-16T19:41:11.000Z,57291750
33,I don’t take anti malaria drugs again I don proud lol,1482800099763834880,2022-01-16T19:41:07.000Z,3120789091
34,"RT @jljcolorado: 4/ ""Denial of science of epidemiology is widespread, even among “experts”. We are told repeatedly that SARS-CoV-2 will bec…",1482800005215883266,2022-01-16T19:40:44.000Z,1256530970980814851
35,Ment or malaria? https://t.co/3HTN5g4SN6,1482799778056527877,2022-01-16T19:39:50.000Z,1136208503499108354
36,"RT @jljcolorado: 4/ ""Denial of science of epidemiology is widespread, even among “experts”. We are told repeatedly that SARS-CoV-2 will bec…",1482799389190012934,2022-01-16T19:38:18.000Z,1925251062
37,"RT @TheLancet: The legacy of #COVID19 for Papua New Guinea: disrupted care &amp; setbacks in action against tuberculosis, HIV/AIDS, &amp; malaria.…",1482798942777659393,2022-01-16T19:36:31.000Z,1168974246
38,"RT @JackAllLanterns: @thedadpresents @TigerlillySusan Yes, you are 100% right. 
Ivermectin IS an effective prophylactic against malaria (a…",1482798831783743489,2022-01-16T19:36:05.000Z,3315618334
39,"RT @0D1NS_CH0SEN: @SgtJames13 Africa has less than 10% of population fully vaccinated, yet they have the lowest COVID numbers-They take hyd…",1482798642754846721,2022-01-16T19:35:20.000Z,290401879
40,"RT @kenee_egboh: @MaxAMaxim @Superno_1111 @JustinTrudeau I'm an African... fo you know why we don't have stupid, falsified figures like you…",1482798641916129288,2022-01-16T19:35:19.000Z,325016010
41,"@thedadpresents @TigerlillySusan Yes, you are 100% right. 
Ivermectin IS an effective prophylactic against malaria (a parasite).  But COVID19 isn't a parasite, its a virus.",1482798620587937793,2022-01-16T19:35:14.000Z,1342661613988446209
42,"@MaxAMaxim @Superno_1111 @JustinTrudeau I'm an African... fo you know why we don't have stupid, falsified figures like you guy have from John Hopkins University,  its because in Africa, especially west Africa...malaria and typhoid is regular. What you call covid19 is acute malaria and typhoid in that region.",1482798494809313281,2022-01-16T19:34:44.000Z,2174801925
43,"Tal día como hoy de 1556, Carlos I abdica en Bruselas. Deja a su hermano Fernando el Sacro Imperio Romano Germánico (lo que hoy llamaríamos Alemania), y a su hijo Felipe II España, América y el resto de territorios. El emperador se retira a Yuste, donde morirá de malaria en 1558.",1482798402610024454,2022-01-16T19:34:22.000Z,535323071
44,HOW TO PREVENT OURSELVES FROM MALARIA https://t.co/mMWNsqYhO6 Budget https://t.co/Ib7zWsgS8T,1482798062577856513,2022-01-16T19:33:01.000Z,1448035746783313923
45,"No passado, a Malária já matou metade de todas as pessoas que já viveram.

Nos últimos 20 anos, o número de mortes por malária caiu 60%.

É muito difícil não difícil ser otimista com o futuro dado o track record da humanidade.",1482797991324966914,2022-01-16T19:32:44.000Z,1295821098261585921
46,"God forbid sha...
Really cool until better Malaria hits person with a lirrle of typhoid unaware. 😭😭😭 try make credit dey always day your phone even if na flashing power and get one speed dial number too of you like this stay alone thingy https://t.co/y4V2S6R8Ot",1482797539875295238,2022-01-16T19:30:57.000Z,961349611268005888
47,"RT @jljcolorado: 4/ ""Denial of science of epidemiology is widespread, even among “experts”. We are told repeatedly that SARS-CoV-2 will bec…",1482797307401674752,2022-01-16T19:30:01.000Z,246564049
48,"RT @jljcolorado: 4/ ""Denial of science of epidemiology is widespread, even among “experts”. We are told repeatedly that SARS-CoV-2 will bec…",1482796891192582151,2022-01-16T19:28:22.000Z,1230372325
49,"Malaria plus sore throats 
Dead sentence",1482796647855894528,2022-01-16T19:27:24.000Z,1169354388114149378
50,@kilotojesu1 Always use it pls. Malaria is too much,1482796645385392138,2022-01-16T19:27:23.000Z,874015542
51,"Here's How The Sound of Mosquitoes' Mating Rituals Could Help Us Control Malaria
https://t.co/BgC6xCKTQE",1482796540922109953,2022-01-16T19:26:59.000Z,1446046110397739010
52,Here’s how the sound of mosquito mating rituals could help us control malaria https://t.co/ITuQAisIUc,1482796421837426692,2022-01-16T19:26:30.000Z,1388527425001189376
53,@ignite_GSD Ment or Malaria😂💔,1482795865626628102,2022-01-16T19:24:18.000Z,4059941043
54,"RT @nameshiv: along with this and malaria vax, rNA vaccines may be the greatest breakthrough we've had since broad spectrum antibiotics",1482795844059504642,2022-01-16T19:24:12.000Z,1058079972223524864
55,"RT @dgurdasani1: Time to tell all these 'developing' countries to cancel national malaria, TB programmes because -well- these diseases are…",1482795614618497029,2022-01-16T19:23:18.000Z,854401971113140225
56,"@mcesarmuniz @anterogreco Vc realmente está comparando a vacina contra febre amarela e malária, com a vac. do cov. ? Tá certo, não dá mesmo para discutir!",1482795605810364417,2022-01-16T19:23:16.000Z,1407102699414372352
57,"RT @jljcolorado: 4/ ""Denial of science of epidemiology is widespread, even among “experts”. We are told repeatedly that SARS-CoV-2 will bec…",1482795476948709379,2022-01-16T19:22:45.000Z,1159344468706775042
58,"RT @FadaunsiAdeniyi: Peter Obi as a sitting governor was flying ""Economy Class"" while your MCMs were flying private jets to go treat malari…",1482795298472800258,2022-01-16T19:22:02.000Z,4286045560
59,"@GillianMcKeith Have you ever flown to anywhere interesting in Africa?
Yellow fever vax needed. For your own good too.
Not to mention malaria tablets etc.
The no vax argument is pathetic.",1482795033644482573,2022-01-16T19:20:59.000Z,22181328
60,"RT @dgurdasani1: Time to tell all these 'developing' countries to cancel national malaria, TB programmes because -well- these diseases are…",1482795001033764875,2022-01-16T19:20:51.000Z,198362514
